epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8514,1.52262,2.26226,1.23065,0.6086,0.45517,0.47107,0.30691,1.29261,2.37642,1.25341,0.0672598,0.000330709,0.000330709
2,89.8248,1.41793,1.39745,1.19559,0.60356,0.5116,0.52475,0.32303,1.2261,1.79473,1.20742,0.0342399,0.000644121,0.000644121
3,133.11,1.41218,1.26653,1.19856,0.70243,0.63647,0.6727,0.43103,1.1713,1.24902,1.24738,0.0012,0.000937533,0.000937533
4,176.35,1.3954,1.19264,1.18631,0.68193,0.61133,0.6057,0.40693,1.15785,1.55683,1.18454,0.00091,0.00091,0.00091
5,218.378,1.3802,1.13531,1.18229,0.61397,0.71598,0.68399,0.4617,1.0821,1.0493,1.133,0.00088,0.00088,0.00088
6,261.222,1.38565,1.0702,1.17502,0.78554,0.63749,0.71842,0.49119,1.06329,0.93083,1.12156,0.00085,0.00085,0.00085
7,303.319,1.33245,1.01969,1.15562,0.80701,0.66555,0.74016,0.50895,1.04732,0.91406,1.10724,0.00082,0.00082,0.00082
8,345.706,1.34284,1.00767,1.15842,0.83432,0.66283,0.73839,0.49802,1.06827,0.89107,1.10331,0.00079,0.00079,0.00079
9,388.076,1.31615,0.96624,1.15866,0.73815,0.74027,0.73361,0.5167,1.00271,0.86612,1.08008,0.00076,0.00076,0.00076
10,430.467,1.30789,0.954,1.14249,0.74017,0.73316,0.74694,0.51973,1.03383,0.82562,1.09918,0.00073,0.00073,0.00073
11,472.5,1.29795,0.93588,1.14677,0.786,0.73288,0.79274,0.58358,0.99705,0.76301,1.07445,0.0007,0.0007,0.0007
12,514.303,1.28058,0.88865,1.1349,0.70129,0.73428,0.7745,0.54325,1.01147,0.82227,1.09795,0.00067,0.00067,0.00067
13,556.054,1.273,0.89006,1.13491,0.8156,0.73886,0.77275,0.54951,1.01618,0.78066,1.08771,0.00064,0.00064,0.00064
14,597.749,1.28613,0.88499,1.143,0.79928,0.75616,0.81655,0.59704,1.00986,0.74067,1.09058,0.00061,0.00061,0.00061
15,639.571,1.26353,0.85799,1.13287,0.86428,0.77451,0.83923,0.61166,0.96194,0.72601,1.06705,0.00058,0.00058,0.00058
16,681.512,1.24479,0.85341,1.11437,0.8027,0.78175,0.81907,0.59106,0.99295,0.6994,1.07369,0.00055,0.00055,0.00055
17,723.244,1.24638,0.82494,1.11936,0.78823,0.77765,0.81548,0.59477,0.99051,0.70898,1.06014,0.00052,0.00052,0.00052
18,765.159,1.23993,0.81404,1.11485,0.83094,0.7818,0.80992,0.58788,0.96476,0.70309,1.06163,0.00049,0.00049,0.00049
19,807.721,1.22004,0.80362,1.10579,0.86888,0.72658,0.79815,0.58478,0.97244,0.67978,1.05029,0.00046,0.00046,0.00046
20,851.309,1.21463,0.79523,1.10493,0.84535,0.79197,0.85145,0.62504,0.954,0.65588,1.04658,0.00043,0.00043,0.00043
21,930.852,1.21619,0.77684,1.11212,0.81532,0.78255,0.82328,0.59371,0.96918,0.69709,1.06521,0.0004,0.0004,0.0004
22,972.557,1.22923,0.75064,1.11244,0.83681,0.7831,0.83266,0.60112,0.94298,0.68045,1.05075,0.00037,0.00037,0.00037
23,1014.19,1.19725,0.74103,1.09405,0.86833,0.76423,0.81357,0.5985,0.97143,0.69984,1.07422,0.00034,0.00034,0.00034
24,1055.81,1.17761,0.72587,1.08671,0.8345,0.78169,0.8433,0.62605,0.95288,0.66426,1.04158,0.00031,0.00031,0.00031
25,1097.51,1.20332,0.73302,1.10296,0.87681,0.76495,0.84466,0.6184,0.92801,0.67052,1.0402,0.00028,0.00028,0.00028
26,1139.41,1.17999,0.71292,1.09097,0.85428,0.80815,0.84508,0.6257,0.92778,0.63927,1.03264,0.00025,0.00025,0.00025
27,1181.08,1.1585,0.6898,1.07851,0.83432,0.77577,0.83524,0.61712,0.93772,0.62056,1.03902,0.00022,0.00022,0.00022
28,1222.8,1.15794,0.69046,1.08445,0.81141,0.80989,0.84485,0.62246,0.92928,0.63124,1.02937,0.00019,0.00019,0.00019
29,1264.5,1.11996,0.66896,1.07027,0.82014,0.84165,0.85868,0.64233,0.91979,0.60755,1.02773,0.00016,0.00016,0.00016
30,1307.72,1.1516,0.68488,1.08518,0.83084,0.8255,0.85044,0.63467,0.91136,0.60793,1.02772,0.00013,0.00013,0.00013
