epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.506,1.52262,2.26226,1.23065,0.6086,0.45517,0.47107,0.30691,1.29261,2.37642,1.25341,0.0672598,0.000330709,0.000330709
2,85.4619,1.42054,1.39612,1.1972,0.59113,0.54928,0.52428,0.30871,1.29267,1.69989,1.28674,0.0342402,0.000644352,0.000644352
3,126.98,1.41703,1.27801,1.20171,0.77222,0.52445,0.62161,0.4004,1.22142,1.3677,1.23105,0.00120069,0.000938227,0.000938227
4,168.762,1.40975,1.19892,1.19595,0.74232,0.60317,0.66394,0.4601,1.12193,1.20081,1.15208,0.000911044,0.000911044,0.000911044
5,210.753,1.38047,1.15205,1.18817,0.67912,0.68363,0.68259,0.44834,1.15959,1.15818,1.21266,0.000881392,0.000881392,0.000881392
6,252.502,1.38417,1.07666,1.17617,0.67986,0.7027,0.73355,0.50693,1.07062,0.88348,1.13155,0.00085174,0.00085174,0.00085174
7,294.219,1.33545,1.01909,1.15846,0.78784,0.67527,0.71893,0.50101,1.05104,0.93024,1.11896,0.000822088,0.000822088,0.000822088
8,336.168,1.34058,1.00129,1.15686,0.82122,0.65292,0.74124,0.51532,1.07963,0.89427,1.13039,0.000792436,0.000792436,0.000792436
9,378.019,1.31787,0.96359,1.16069,0.8431,0.71914,0.77031,0.55039,1.00132,0.83805,1.08184,0.000762784,0.000762784,0.000762784
10,420,1.30731,0.95908,1.14628,0.82548,0.71252,0.74483,0.51259,1.04239,0.83837,1.10376,0.000733132,0.000733132,0.000733132
11,461.926,1.30361,0.93636,1.15355,0.84981,0.71285,0.77068,0.56038,1.00952,0.80464,1.08009,0.00070348,0.00070348,0.00070348
12,504.101,1.28402,0.88591,1.13601,0.73941,0.78042,0.78419,0.55657,1.01766,0.80568,1.10434,0.000673828,0.000673828,0.000673828
13,545.997,1.27525,0.88779,1.1333,0.85499,0.71251,0.75449,0.53343,1.02095,0.81877,1.089,0.000644176,0.000644176,0.000644176
14,588.092,1.28997,0.88801,1.14415,0.77648,0.75627,0.82016,0.60419,1.00335,0.72566,1.06575,0.000614524,0.000614524,0.000614524
15,630.225,1.26734,0.85595,1.13848,0.87449,0.78093,0.82161,0.6209,0.93484,0.69956,1.0483,0.000584872,0.000584872,0.000584872
16,672.253,1.24671,0.85376,1.11442,0.83967,0.76974,0.82117,0.6005,0.98941,0.73257,1.07118,0.00055522,0.00055522,0.00055522
17,714.219,1.23973,0.82547,1.11841,0.8425,0.75251,0.81123,0.59251,0.98704,0.72435,1.0609,0.000525568,0.000525568,0.000525568
18,756.014,1.23823,0.81179,1.11409,0.80541,0.78175,0.83209,0.61657,0.9604,0.7079,1.05418,0.000495916,0.000495916,0.000495916
19,797.981,1.22103,0.80263,1.10547,0.83332,0.75455,0.8067,0.59212,0.96107,0.70526,1.05877,0.000466264,0.000466264,0.000466264
20,840.326,1.21224,0.79391,1.10514,0.7913,0.80477,0.84187,0.62097,0.95377,0.65301,1.04497,0.000436612,0.000436612,0.000436612
21,917.666,1.2228,0.77211,1.11407,0.82839,0.74184,0.81037,0.59809,0.94194,0.6747,1.04567,0.00040696,0.00040696,0.00040696
22,959.186,1.23797,0.75491,1.1165,0.82251,0.79307,0.83787,0.61334,0.96228,0.65728,1.05857,0.000377308,0.000377308,0.000377308
23,1000.78,1.20071,0.74294,1.10047,0.8474,0.76212,0.82739,0.61111,0.95922,0.65353,1.05807,0.000347656,0.000347656,0.000347656
24,1042.61,1.17659,0.72875,1.08611,0.83935,0.80243,0.84439,0.62153,0.95565,0.65582,1.04918,0.000318004,0.000318004,0.000318004
25,1084.42,1.20013,0.72978,1.10191,0.86953,0.76894,0.84015,0.62,0.93149,0.64048,1.04413,0.000288352,0.000288352,0.000288352
26,1126.04,1.17685,0.71583,1.09012,0.82143,0.80245,0.84575,0.62802,0.93814,0.6186,1.04519,0.0002587,0.0002587,0.0002587
27,1167.67,1.16055,0.69093,1.08045,0.85323,0.78668,0.84073,0.62793,0.93795,0.62603,1.03636,0.000229048,0.000229048,0.000229048
28,1209.51,1.15493,0.68658,1.08585,0.79101,0.80354,0.84524,0.63081,0.93483,0.61758,1.03942,0.000199396,0.000199396,0.000199396
29,1251.37,1.12718,0.66729,1.07373,0.79437,0.8358,0.85854,0.64657,0.90228,0.61244,1.02072,0.000169744,0.000169744,0.000169744
30,1293.13,1.158,0.68237,1.08623,0.83647,0.79707,0.86113,0.64542,0.91226,0.58515,1.02747,0.000140092,0.000140092,0.000140092
